owner_org,request_number,year,month,summary_en,summary_fr,disposition,pages,comments_en,comments_fr,umd_number,owner_org_title,reason
cgc-ccg,A3-2019-00006,2020,1,What percentage of employees of the Commission worked at least some overtime in each of the fiscal years 2017-2018 and 2018-2019,Quel pourcentage des employés de la Commission ont fait des heures supplémentaires pendant chacun des exercices 2017-2018 et 2018-2019?,DA (All disclosed / Communication totale),0,NA,NA,17,Canadian Grain Commission | Commission canadienne des grains,NA
cgc-ccg,A3-2019-00006,2020,1,What percentage of employees of the Commission worked at least some overtime in each of the fiscal years 2017-2018 and 2018-2019,Quel pourcentage des employés de la Commission ont fait des heures supplémentaires pendant chacun des exercices 2017-2018 et 2018-2019?,DA (All disclosed / Communication totale),1,NA,NA,17,Canadian Grain Commission | Commission canadienne des grains,NA
cgc-ccg,A3-2019-00007,2020,2,"Please provide the total amounts spent on advertising for budget year 2018-2019 on a month to month basis, separating for production and media placement costs","Veuillez fournir les dépenses totales en publicité pour l’année budgétaire 2018-2019, sur une base mensuelle, en séparant les coûts de production et les coûts de placement médiatique.",DA (All disclosed / Communication totale),0,NA,NA,17,Canadian Grain Commission | Commission canadienne des grains,NA
cgc-ccg,A3-2019-00007,2020,2,"Please provide the total amounts spent on advertising for budget year 2018-2019 on a month to month basis, separating for production and media placement costs","Veuillez fournir les dépenses totales en publicité pour l’année budgétaire 2018-2019, sur une base mensuelle, en séparant les coûts de production et les coûts de placement médiatique.",DA (All disclosed / Communication totale),1,NA,NA,17,Canadian Grain Commission | Commission canadienne des grains,NA
cgc-ccg,A3-2019-00008,2020,2,"Please provide the list of advertising purchases (titles, purpose of advertising, vendor) purchased by the department for budget year 2018-2019 on a month to month basis","Veuillez fournir la liste des achats publicitaires (titres, but de l’annonce, fournisseur) effectués par le Ministère pour l’année budgétaire 2018-2019, sur une base mensuelle.",DA (All disclosed / Communication totale),0,NA,NA,17,Canadian Grain Commission | Commission canadienne des grains,NA
cgc-ccg,A3-2019-00008,2020,2,"Please provide the list of advertising purchases (titles, purpose of advertising, vendor) purchased by the department for budget year 2018-2019 on a month to month basis","Veuillez fournir la liste des achats publicitaires (titres, but de l’annonce, fournisseur) effectués par le Ministère pour l’année budgétaire 2018-2019, sur une base mensuelle.",DA (All disclosed / Communication totale),3,NA,NA,17,Canadian Grain Commission | Commission canadienne des grains,NA
cgc-ccg,A3-2020-00001,2020,7,"""All final contracts and accompanying final briefing materials if applicable for ARTOPEX INC. with contract dates 2019-02-08 (amount: $24,026.10), 2019-02-08 (amount: $24,862.63), and FCA CANADA INC with contract dates 2016-05-19 (amount: $24, 253.42), 2016-05-19 (amount: $24,674.78) and 2016-05-19 (amount: $24,253.42). Please exclude Cabinet Confidences.""","Veuillez fournir tous les marchés définitifs et les documents d’information définitifs qui les accompagnent, le cas échéant, pour ARTOPEX INC. pour les dates de marché suivantes : 08-02-2019 (montant : 24 026,10 $), 08-02-2019 (montant : 24 862,63 $), ainsi que pour FCA CANADA INC pour les dates de marché suivantes : 19-05-2016 (montant : 24 253,42 $), 19-05-2016 (montant : 24 674,78 $) et 19-05-2016 (montant : 24 253,42 $). Veuillez exclure les documents confidentiels du Cabinet.",DP (Disclosed in part / Communication partielle),1,NA,NA,17,Canadian Grain Commission | Commission canadienne des grains,NA
cgc-ccg,A3-2020-00001,2020,7,"""All final contracts and accompanying final briefing materials if applicable for ARTOPEX INC. with contract dates 2019-02-08 (amount: $24,026.10), 2019-02-08 (amount: $24,862.63), and FCA CANADA INC with contract dates 2016-05-19 (amount: $24, 253.42), 2016-05-19 (amount: $24,674.78) and 2016-05-19 (amount: $24,253.42). Please exclude Cabinet Confidences.""","Veuillez fournir tous les marchés définitifs et les documents d’information définitifs qui les accompagnent, le cas échéant, pour ARTOPEX INC. pour les dates de marché suivantes : 08-02-2019 (montant : 24 026,10 $), 08-02-2019 (montant : 24 862,63 $), ainsi que pour FCA CANADA INC pour les dates de marché suivantes : 19-05-2016 (montant : 24 253,42 $), 19-05-2016 (montant : 24 674,78 $) et 19-05-2016 (montant : 24 253,42 $). Veuillez exclure les documents confidentiels du Cabinet.",DP (Disclosed in part / Communication partielle),11,NA,NA,17,Canadian Grain Commission | Commission canadienne des grains,NA
cgc-ccg,A3-2020-00002,2020,8,"""Please provide the total number of senior management employees approved for private language lessons not less than five years away from their retirement date from their acting or substantive roles, from 2015-01-01 to 2020-08-26. Provide in spreadsheet format. Search through electronic records only, unless data is not available in that format. Exclude cabinet confidences. Remove French versions of records if English ones exist. Provide the final version of documents or last draft if the final version is not available.""","Veuillez fournir le nombre total de cadre supérieurs pour lesquels des cours de langue privés pas moins de cinq ans avant la date de leur départ à la retraite de leur poste intérimaire ou poste d’attache, du 01-01-2015 au 26-08-2020. Fournissez les données dans une feuille de calcul. Limitez la recherche aux documents électroniques, à moins que les données ne soient pas accessibles dans ce format. Veuillez exclure les documents confidentiels du Cabinet. Retirez les versions françaises des documents lorsqu’il existe des versions anglaises. Fournissez la version finale des documents, ou la dernière ébauche si la version finale n’est pas disponible.",DA (All disclosed / Communication totale),0,NA,NA,17,Canadian Grain Commission | Commission canadienne des grains,NA
cgc-ccg,A3-2020-00002,2020,8,"""Please provide the total number of senior management employees approved for private language lessons not less than five years away from their retirement date from their acting or substantive roles, from 2015-01-01 to 2020-08-26. Provide in spreadsheet format. Search through electronic records only, unless data is not available in that format. Exclude cabinet confidences. Remove French versions of records if English ones exist. Provide the final version of documents or last draft if the final version is not available.""","Veuillez fournir le nombre total de cadre supérieurs pour lesquels des cours de langue privés pas moins de cinq ans avant la date de leur départ à la retraite de leur poste intérimaire ou poste d’attache, du 01-01-2015 au 26-08-2020. Fournissez les données dans une feuille de calcul. Limitez la recherche aux documents électroniques, à moins que les données ne soient pas accessibles dans ce format. Veuillez exclure les documents confidentiels du Cabinet. Retirez les versions françaises des documents lorsqu’il existe des versions anglaises. Fournissez la version finale des documents, ou la dernière ébauche si la version finale n’est pas disponible.",DA (All disclosed / Communication totale),1,NA,NA,17,Canadian Grain Commission | Commission canadienne des grains,NA
cgc-ccg,A3-2020-00005,2020,9,"Please provide in spreadsheet form the total amount of expenses incurred between March 1st 2020 and the date on which this request is received detailing all expenses with the 2020/2021 object codes 1231, 1246, and 0533. Provide a breakdown of expenses incurred and for each expense, provide the name of the service provider/contractor, a description of the product or service rendered, the date, and the total amount of the expense. When this data does not exist in the aforementioned format, provide the entirety of records (including receipts, purchase orders, and service contracts) pertaining to the expense. Search through electronic records only, unless data is not available in that format. Exclude cabinet confidences. Remove French versions of records if English ones exist. Provide the final version of documents or last draft if the final version is not available","Veuillez fournir dans une feuille de calcul le montant total des dépenses engagées du 1er mars 2020 à la date à laquelle la présente demande a été reçue, en détaillant les dépenses associées aux codes d’articles 1231, 1246 et 0533 pour l’exercice 2020-2021. Fournissez une ventilation des dépenses engagées et, pour chacune des dépenses, fournissez le nom du fournisseur de service ou de l’entrepreneur, une description du produit ou service fourni, la date et le montant total des dépenses. Lorsque ces données n’existent pas dans le format susmentionné, fournissez l’ensemble des documents (y compris les reçus, bons de commande et marchés de services) relatifs aux dépenses. Limitez la recherche aux documents électroniques, à moins que les données ne soient pas accessibles dans ce format. Veuillez exclure les documents confidentiels du Cabinet. Retirez les versions françaises des documents lorsqu’il existe des versions anglaises. Fournissez la version finale des documents, ou la dernière ébauche si la version finale n’est pas disponible.",DA (All disclosed / Communication totale),0,NA,NA,17,Canadian Grain Commission | Commission canadienne des grains,NA
cgc-ccg,A3-2020-00005,2020,9,"Please provide in spreadsheet form the total amount of expenses incurred between March 1st 2020 and the date on which this request is received detailing all expenses with the 2020/2021 object codes 1231, 1246, and 0533. Provide a breakdown of expenses incurred and for each expense, provide the name of the service provider/contractor, a description of the product or service rendered, the date, and the total amount of the expense. When this data does not exist in the aforementioned format, provide the entirety of records (including receipts, purchase orders, and service contracts) pertaining to the expense. Search through electronic records only, unless data is not available in that format. Exclude cabinet confidences. Remove French versions of records if English ones exist. Provide the final version of documents or last draft if the final version is not available","Veuillez fournir dans une feuille de calcul le montant total des dépenses engagées du 1er mars 2020 à la date à laquelle la présente demande a été reçue, en détaillant les dépenses associées aux codes d’articles 1231, 1246 et 0533 pour l’exercice 2020-2021. Fournissez une ventilation des dépenses engagées et, pour chacune des dépenses, fournissez le nom du fournisseur de service ou de l’entrepreneur, une description du produit ou service fourni, la date et le montant total des dépenses. Lorsque ces données n’existent pas dans le format susmentionné, fournissez l’ensemble des documents (y compris les reçus, bons de commande et marchés de services) relatifs aux dépenses. Limitez la recherche aux documents électroniques, à moins que les données ne soient pas accessibles dans ce format. Veuillez exclure les documents confidentiels du Cabinet. Retirez les versions françaises des documents lorsqu’il existe des versions anglaises. Fournissez la version finale des documents, ou la dernière ébauche si la version finale n’est pas disponible.",DA (All disclosed / Communication totale),25,NA,NA,17,Canadian Grain Commission | Commission canadienne des grains,NA
cgc-ccg,A3-2020-00006,2021,2,"Please provide the total number of department officials approved for work-related international travel, from the start of September 2020 to the date this request is received. Please also provide those official’s travel dates and their destinations. In response, provide the total costs incurred by the department for the work-related travel.”","Veuillez indiquer le nombre total de représentants du Ministère autorisés à faire des voyages professionnels à l’étranger, du début septembre 2020 jusqu’à la date de réception de la présente demande. Veuillez aussi indiquer les dates et les destinations de voyage de ces représentants. Dans la réponse, indiquez les coûts totaux engagés par le Ministère pour les voyages professionnels.",NE (No records exist / Aucun document n’existe),0,NA,NA,17,Canadian Grain Commission | Commission canadienne des grains,NA
cgc-ccg,A3-2020-00006,2021,2,"Please provide the total number of department officials approved for work-related international travel, from the start of September 2020 to the date this request is received. Please also provide those official’s travel dates and their destinations. In response, provide the total costs incurred by the department for the work-related travel.”","Veuillez indiquer le nombre total de représentants du Ministère autorisés à faire des voyages professionnels à l’étranger, du début septembre 2020 jusqu’à la date de réception de la présente demande. Veuillez aussi indiquer les dates et les destinations de voyage de ces représentants. Dans la réponse, indiquez les coûts totaux engagés par le Ministère pour les voyages professionnels.",NE (No records exist / Aucun document n’existe),1,NA,NA,17,Canadian Grain Commission | Commission canadienne des grains,NA
cic,A-2015-30095,2016,1,"Requesting any CIC publications, datasets, reports or other information that details the volume of incidents relating to illegal use of Canadian passports (fraud/lost/stolen etc.). Specifically, I hope to find report(s) that either estimate or otherwise quantify dollar-value impacts of passport abuse on Canadian security in general, but any quantified material will be helpful.","Nous demandons toute publication, tout ensemble de données, rapport ou d'autres renseignements de CIC qui présentent en détail le volume des incidents ayant trait à l'utilisation illégale de passeports canadiens (fraude, vol/perte, etc.). Plus particulièrement, j'espère trouver un ou des rapports qui estiment ou quantifient d'une autre façon les incidences monétaires de l'utilisation abusive de passeports sur la sécurité canadienne en général, mais tout matériel quantifié sera utile.",NE (No records exist / Aucun document n’existe),0,NA,NA,61,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",NA
cic,A-2015-30095,2016,10,"Requesting any CIC publications, datasets, reports or other information that details the volume of incidents relating to illegal use of Canadian passports (fraud/lost/stolen etc.). Specifically, I hope to find report(s) that either estimate or otherwise quantify dollar-value impacts of passport abuse on Canadian security in general, but any quantified material will be helpful.","Tous les ensembles de données, rapports, publications et autres renseignements de CIC qui contiennent des détails sur le nombre d’incidents liés à l’usage illicite de passeports canadiens (fraude/perte/vol, etc.). Plus précisément, j’espère trouver des rapports qui contiennent soit une estimation, soit une quantification, en dollars, des effets de la mauvaise utilisation des passeports sur la sécurité des Canadiens en général, mais tous les documents contenant des chiffres à ce sujet seront utiles.",DP (Disclosed in part / Communication partielle),33,NA,NA,61,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",NA
csc-scc,A-2019-00166,2021,12,"To date, emails from: -Shannon Mulloy to Sissy Lepage from 01/01/2018 -Sissy Lepage to Shannon Mulloy from 01/01/2019 -Shannon Mulloy to Jason Tytula from 10/08/2018 -Jason Tytula to Shannon Mulloy from 10/08/2019 -To/from shannonkmulloy@gmail.com.","Jusqu'à présent, courriels de : -Shannon Mulloy à Sissy Lepage de 01/01/2018 -Sissy Lepage à Shannon Mulloy de 01/01/2019 -Shannon Mulloy à Jason Tytula de 10/08/2018 -Jason Tytula à Shannon Mulloy de 10/08/2019 -À/de shannonkmulloy@gmail.com.",DP (Disclosed in part / Communication partielle),40,NA,NA,88,Correctional Service of Canada | Service correctionnel du Canada,NA
csc-scc,A-2019-00166,2021,12,*Personal information*,*Informations personnelles*,DP (Disclosed in part / Communication partielle),40,NA,NA,88,Correctional Service of Canada | Service correctionnel du Canada,NA
csc-scc,A-2021-00026,2022,2,"All emails from or to Warden Shawn Huish containing the words: Covid, corona, mask, influenza or positive, between March 28/2020 and April 8/2020.","Tous les courriels de la part ou à l'intention de Shawn Huish, directeur d'établissement, qui contiennent les mots suivants : COVID-19, corona, masque, grippe ou positif, entre le 28 mars 2020 et le 8 avril 2020",DP (Disclosed in part / Communication partielle),313,NA,NA,88,Correctional Service of Canada | Service correctionnel du Canada,NA
csc-scc,A-2021-00026,2022,8,"All emails from or to Warden Shawn Huish containing the words: covid, corona, mask, influenza or positive, between March 28/2020 and April 8/2020.","Tous les courriels destinés à Shawn Huis, directeur d'établissement, ou provenant de celui-ci qui contiennent les mots suivants : COVID-19, coronavirus, masque, grippe ou positif, entre le 28 mars 2020 et le 8 avril 2020.",DP (Disclosed in part / Communication partielle),372,NA,NA,88,Correctional Service of Canada | Service correctionnel du Canada,NA
csis-scrs,A-2021-396,2022,3,Documents which reference Residential schools.,Documents qui font référence aux pensionnats.,DP (Disclosed in part / Communication partielle),698,NA,NA,28,Canadian Security Intelligence Service | Service canadien du renseignement de sécurité,NA
csis-scrs,A-2021-396,2022,3,Documents which reference Residential schools.,Documents qui font référence aux pensionnats.,DP (Disclosed in part / Communication partielle),294,NA,NA,28,Canadian Security Intelligence Service | Service canadien du renseignement de sécurité,NA
csis-scrs,A-2021-507,2022,3,"All files including threat assessments, weekly reports, internal emails, briefing notes that detail Uniformed Personnel and Ideologically Motivated Violent Extremism between 2020/07/30 and 2021/11/16.","Tous les documents, y compris les évaluations de la menace, les rapports hebdomadaires, les courriels internes et les notes d’information, qui portent sur le personnel en uniforme et l’extrémisme violent à caractère idéologique pour la période du 30 juillet 2020 au 16 novembre 2021.",DP (Disclosed in part / Communication partielle),46,NA,NA,28,Canadian Security Intelligence Service | Service canadien du renseignement de sécurité,NA
csis-scrs,A-2021-507,2022,3,"All files including threat assessments, weekly reports, internal emails, briefing notes that detail Uniformed Personnel and Ideologically Motivated Violent Extremism between 2020/07/30 and 2021/11/16.","Tous les documents, y compris les évaluations de la menace, les rapports hebdomadaires, les courriels internes et les notes d’information, qui portent sur le personnel en uniforme et l’extrémisme violent à caractère idéologique pour la période du 30 juillet 2020 au 16 novembre 2021.",DP (Disclosed in part / Communication partielle),110,NA,NA,28,Canadian Security Intelligence Service | Service canadien du renseignement de sécurité,NA
dfatd-maecd,A-2019-02275,2020,12,All documents concerning the status of the repayable loans issued by the government of Canada to Bombardier in 2009 to deliver its Q400 and CRJ900 aircraft to Sweden’s Scandinavian Airlines,Tous les documents concernant l’état des prêts remboursables accordés par le gouvernement du Canada à Bombardier en 2009 pour la livraison de ses avions Q400 et CRJ900 à la compagnie aérienne suédoise Scandinavian Airlines,DP (Disclosed in part / Communication partielle),0,NA,NA,41,Global Affairs Canada | Affaires mondiales Canada,NA
dfatd-maecd,A-2019-02275,2020,12,All documents concerning the status of the repayable loans issued by the government of Canada to Bombardier in 2009 to deliver its Q400 and CRJ900 aircraft to Sweden’s Scandinavian Airlines,Tous les documents concernant l’état des prêts remboursables accordés par le gouvernement du Canada à Bombardier en 2009 pour la livraison de ses avions Q400 et CRJ900 à la compagnie aérienne suédoise Scandinavian Airlines,EC (All excluded / Exclusion totale),0,NA,NA,41,Global Affairs Canada | Affaires mondiales Canada,NA
dnd-mdn,A-2017-00540,2021,9,MAT2016-1112827: Request from Canadian Commercial Corporation to perform quality assurance out of country.,MAT2016-1112827 : Demande de la Corporation commerciale canadienne pour réaliser de l'assurance de la qualité à l'extérieur du pays.,DP (Disclosed in part / Communication partielle),19,NA,NA,32,National Defence | Défense nationale,NA
dnd-mdn,A-2017-00540,2021,11,MAT2016-1112827: Request from Canadian Commercial Corporation to perform quality assurance out of country.,MAT2016-1112827 : Demande de la Corporation commerciale canadienne d’effectuer l’assurance de la qualité hors du pays,DP (Disclosed in part / Communication partielle),19,NA,NA,32,National Defence | Défense nationale,NA
elections,A-2021-00016,2022,3,"Provide all records concerning the provision of election data to agents of the Canadian Press (CP), the Media Consortium, Dave Matthews or ""Matthews Communications."" Please include all agreements, contracts and communications to and from any of the parties regarding the subject of the provision of election result data. Time frame from 2011 to September 27, 2021.","Fournir tous les documents qui concernent la communication de données électorales à des agents de la Presse Canadienne, au Consortium des médias, à Dave Matthews ou à « Matthews Communications ». Inclure toutes les ententes, toutes les communications et tous les contrats échangés entre les parties au sujet de la communication de données sur les résultats électoraux. Période : de 2011 au 27 septembre 2021.",DP (Disclosed in part / Communication partielle),383,NA,NA,14,Elections Canada | Élections Canada,NA
elections,A-2021-00016,2022,6,"Provide all records concerning the provision of election data to agents of the Canadian Press (CP), the Media Consortium, Dave Matthews or ""Matthews Communications."" Please include all agreements, contracts and communications to and from any of the parties regarding the subject of the provision of election result data. Time frame from 2011 to September 27, 2021.","Fournir tous les documents qui concernent la communication de données électorales à des agents de la Presse Canadienne, au Consortium des médias, à Dave Matthews ou à « Matthews Communications ». Inclure toutes les ententes, toutes les communications et tous les contrats échangés entre les parties au sujet de la communication de données sur les résultats électoraux. Période : de 2011 au 27 septembre 2021.",DP (Disclosed in part / Communication partielle),383,NA,NA,14,Elections Canada | Élections Canada,NA
elections,A-2021-00019,2022,3,"Request for all email communications to and from Kenora returning officer Paul Stanley Duggan between August 1, 2021, and October 12, 2021.","Demande d’obtention de tous les courriels envoyés à ou par Paul Stanley Duggan, directeur du scrutin de Kenora, entre le 1er août 2021 et le 12 octobre 2021.",DP (Disclosed in part / Communication partielle),4112,NA,NA,14,Elections Canada | Élections Canada,NA
elections,A-2021-00019,2022,6,"Request for all email communications to and from Kenora returning officer Paul Stanley Duggan between August 1, 2021, and October 12, 2021.","Demande d’obtention de tous les courriels envoyés à ou par Paul Stanley Duggan, directeur du scrutin de Kenora, entre le 1er août 2021 et le 12 octobre 2021.",DP (Disclosed in part / Communication partielle),4112,NA,NA,14,Elections Canada | Élections Canada,NA
elections,A-2021-00042,2022,2,"All information regarding the decision to cancel the vote on campus program during the last general election, including but not limited to: emails (from/to the CEO, HQ, FLOs and ROs), internal memos and PowerPoints regarding the decision. This request also includes the CEO's schedule, video/teleconferences, meetings and correspondence in the period of May 2021 to October 2021. In addition, include any contact between Elections Canada and the Prime Minister's Office during the same period or any correspondence between the CEO, Elections Canada and the Leader of the Opposition. Add any other relevant documents related to the decision to cancel vote on campus.","Obtenir tous les renseignements concernant la décision d’annuler le programme de vote sur campus lors de la dernière élection générale, notamment : les courriels (provenant du DGE, de l’administration centrale, des ADLL et des DS ou qu’ils ont reçus) ainsi que les notes et les présentations internes concernant cette décision. Cette demande vise également l’agenda du DGE, les vidéoconférences ou les téléconférences, les réunions et la correspondance entre mai et octobre 2021. Veuillez aussi inclure tout contact entre Élections Canada et le cabinet du premier ministre au cours de la même période ou toute correspondance entre le DGE, Élections Canada et le chef de l’opposition. Ajoutez tout autre document pertinent lié à la décision d’annuler le vote sur campus.",DP (Disclosed in part / Communication partielle),120,NA,NA,14,Elections Canada | Élections Canada,NA
elections,A-2021-00042,2022,5,"All information regarding the decision to cancel the vote on campus program during the last general election, including but not limited to: emails (from/to the CEO, HQ, FLOs and ROs), internal memos and PowerPoints regarding the decision. This request also includes the CEO's schedule, video/teleconferences, meetings and correspondence in the period of May 2021 to October 2021. In addition, include any contact between Elections Canada and the Prime Minister's Office during the same period or any correspondence between the CEO, Elections Canada and the Leader of the Opposition. Add any other relevant documents related to the decision to cancel vote on campus.","Obtenir tous les renseignements concernant la décision d’annuler le programme de vote sur campus lors de la dernière élection générale, notamment : les courriels (provenant du DGE, de l’administration centrale, des ADLL et des DS ou qu’ils ont reçus) ainsi que les notes et les présentations internes concernant cette décision. Cette demande vise également l’agenda du DGE, les vidéoconférences ou les téléconférences, les réunions et la correspondance entre mai et octobre 2021. Veuillez aussi inclure tout contact entre Élections Canada et le cabinet du premier ministre au cours de la même période ou toute correspondance entre le DGE, Élections Canada et le chef de l’opposition. Ajoutez tout autre document pertinent lié à la décision d’annuler le vote sur campus.",DP (Disclosed in part / Communication partielle),120,NA,NA,14,Elections Canada | Élections Canada,NA
elections,A-2021-00043,2022,1,"Any documented communication between Elections Canada and the World Economic Forum from 2015-2022, including emails, meeting notes, and memos.","Toute communication documentée entre Élections Canada et le Forum économique mondial de 2015 à 2022, y compris les courriels, les notes de réunion et les notes de service.",NE (No records exist / Aucun document n’existe),0,NA,NA,14,Elections Canada | Élections Canada,NA
elections,A-2021-00043,2022,4,"Any documented communication between Elections Canada and the World Economic Forum from 2015-2022, including emails, meeting notes, and memos.","Toute communication documentée entre Élections Canada et le Forum économique mondial de 2015 à 2022, y compris les courriels, les notes de réunion et les notes de service.",NE (No records exist / Aucun document n’existe),0,NA,NA,14,Elections Canada | Élections Canada,NA
elections,A-2021-00044,2022,1,"A copy of the Elections Canada briefing note titled, ""Application to register a new political party – True North Party of Canada."" It carries a reference number 2022-103674 and was received on February 8, 2022.",Une copie de la note d’information d'Élections Canada intitulée « Demande d’enregistrement d’un nouveau parti politique – Parti Canadien Nordique ». Son numéro de référence est 2022-103674 et sa date de réception est le 8 février 2022.,DA (All disclosed / Communication totale),71,NA,NA,14,Elections Canada | Élections Canada,NA
elections,A-2021-00044,2022,4,"A copy of the Elections Canada briefing note titled, ""Application to register a new political party – True North Party of Canada."" It carries a reference number 2022-103674 and was received on February 8, 2022.",Une copie de la note d’information d'Élections Canada intitulée « Demande d’enregistrement d’un nouveau parti politique – Parti Canadien Nordique ». Son numéro de référence est 2022-103674 et sa date de réception est le 8 février 2022.,DA (All disclosed / Communication totale),71,NA,NA,14,Elections Canada | Élections Canada,NA
elections,A-2021-00045,2022,1,"A copy of the Elections Canada briefing note titled, ""First Nations Program Review."" It was received on February 21, 2022, and carries a reference number of 2022-103726.",Une copie de la note d’information d'Élections Canada intitulée « Examen du programme des Premières Nations ». Son numéro de référence est 2022-103726 et sa date de réception est le 21 février 2022.,DP (Disclosed in part / Communication partielle),20,NA,NA,14,Elections Canada | Élections Canada,NA
elections,A-2021-00045,2022,4,"A copy of the Elections Canada briefing note titled, ""First Nations Program Review."" It was received on February 21, 2022, and carries a reference number of 2022-103726.",Une copie de la note d’information d'Élections Canada intitulée « Examen du programme des Premières Nations ». Son numéro de référence est 2022-103726 et sa date de réception est le 21 février 2022.,DP (Disclosed in part / Communication partielle),20,NA,NA,14,Elections Canada | Élections Canada,NA
elections,A-2022-00002,2022,3,"A complete list of all campaign funds, donations, gifts and monies from all sources and expenditures made in the 2021 federal electoral campaign of Marcus Powlowski (Thunder Bay—Rainy River in Ontario).","Une liste complète des fonds, dons, cadeaux et sommes d’argent reçus de toutes les sources ainsi que des dépenses effectuées pour la campagne électorale fédérale de 2021 de Marcus Powlowski (Thunder Bay—Rainy River, en Ontario).",DA (All disclosed / Communication totale),27,NA,NA,14,Elections Canada | Élections Canada,NA
