owner_org,request_number,year,month,summary_en,summary_fr,disposition,pages,comments_en,comments_fr,umd_number,owner_org_title
cbsa-asfc,A-2019-20920,2020,5,"Briefing notes and other briefing materials prepared around the swearing in of the Minister of Public Safety Minister and Emergency Preparedness, Bill Blair on November 20, 2019. This is publicly available at : https://www.cbsa-asfc.gc.ca/pd-dp/tb-ct/min/menu-eng.html","Notes d’information et autres documents d’information concernant l’assermentation du ministre de la Sécurité publique et de la Protection civile, Bill Blair, le 20 novembre 2019. Ces renseignements sont disponibles en ligne à l’adresse suivante : https://www.cbsa-asfc.gc.ca/pd-dp/tb-ct/min/menu-fra.html.",DA (All disclosed / Communication totale),530,NA,NA,10,Canada Border Services Agency | Agence des services frontaliers du Canada
cbsa-asfc,A-2019-20920,2020,5,"Briefing notes and other briefing materials prepared around the swearing in of the Minister of Public Safety Minister and Emergency Preparedness, Bill Blair on November 20, 2019. This is publicly available at : https://www.cbsa-asfc.gc.ca/pd-dp/tb-ct/min/menu-eng.html","Notes d’information et autres documents d’information concernant l’assermentation du ministre de la Sécurité publique et de la Protection civile, Bill Blair, le 20 novembre 2019. Ces renseignements sont disponibles en ligne à l’adresse suivante : https://www.cbsa-asfc.gc.ca/pd-dp/tb-ct/min/menu-fra.html.",EC (All excluded / Exclusion totale),530,NA,NA,10,Canada Border Services Agency | Agence des services frontaliers du Canada
cbsa-asfc,A-2019-21076,2020,5,"Briefing notes and other briefing materials prepared around the swearing in of the Minister of Public Safety Minister and Emergency Preparedness, Bill Blair on November 20, 2019. This is publicly available at : https://www.cbsa-asfc.gc.ca/pd-dp/tb-ct/min/menu-eng.html","Notes d’information et autres documents d’information concernant l’assermentation du ministre de la Sécurité publique et de la Protection civile, Bill Blair, le 20 novembre 2019. Ces renseignements sont disponibles en ligne à l’adresse suivante : https://www.cbsa-asfc.gc.ca/pd-dp/tb-ct/min/menu-fra.html.",DA (All disclosed / Communication totale),530,NA,NA,10,Canada Border Services Agency | Agence des services frontaliers du Canada
cbsa-asfc,A-2019-21076,2020,5,"Briefing notes and other briefing materials prepared around the swearing in of the Minister of Public Safety Minister and Emergency Preparedness, Bill Blair on November 20, 2019. This is publicly available at : https://www.cbsa-asfc.gc.ca/pd-dp/tb-ct/min/menu-eng.html","Notes d’information et autres documents d’information concernant l’assermentation du ministre de la Sécurité publique et de la Protection civile, Bill Blair, le 20 novembre 2019. Ces renseignements sont disponibles en ligne à l’adresse suivante : https://www.cbsa-asfc.gc.ca/pd-dp/tb-ct/min/menu-fra.html.",EC (All excluded / Exclusion totale),530,NA,NA,10,Canada Border Services Agency | Agence des services frontaliers du Canada
cbsa-asfc,A-2020-04597,2020,4,A copy of Minister Bill Blair's Ministerial Briefing Book received in November 2019 when he was appointed as Minister of Public Safety and Emergency Preparedness. Publicly available at the following link: https://www.cbsa-asfc.gc.ca/pd-dp/tb-ct/min/menu-eng.html,"Un exemplaire du cahier d’information reçu par le ministre Bill Blair en novembre 2019, quand il a été nommé ministre de la Sécurité publique et de la Protection civile. On peut consulter ce cahier en cliquant sur le lien suivant : https://www.cbsa-asfc.gc.ca/pd-dp/tb-ct/min/menu-fra.html",DA (All disclosed / Communication totale),0,NA,NA,10,Canada Border Services Agency | Agence des services frontaliers du Canada
cbsa-asfc,A-2020-04597,2020,4,A copy of Minister Bill Blair's Ministerial Briefing Book received in November 2019 when he was appointed as Minister of Public Safety and Emergency Preparedness. Publicly available at the following link: https://www.cbsa-asfc.gc.ca/pd-dp/tb-ct/min/menu-eng.html,"Un exemplaire du cahier d’information reçu par le ministre Bill Blair en novembre 2019, quand il a été nommé ministre de la Sécurité publique et de la Protection civile. On peut consulter ce cahier en cliquant sur le lien suivant : https://www.cbsa-asfc.gc.ca/pd-dp/tb-ct/min/menu-fra.html",EC (All excluded / Exclusion totale),0,NA,NA,10,Canada Border Services Agency | Agence des services frontaliers du Canada
cbsa-asfc,A-2020-17696,2021,2,"Statistics from January 1, 2015 to November 13, 2020, concerning shark fins, shark fin products, shark fin by-products. This includes statistics on shark fins imported and exported in to or from Canada, cites where violations took place, data on seizures of illegal shark fins or products, shark fin quantities desegregated by ports, and place of origin of import. Further records on the process of examination for all dried fish products in Canada including shark fins, the criteria by which shark fins are examined upon entry into Canada, the declaration forms required for completion in the import of shark fins into Canada, and all permits that have been issued with Minister of Public Safety and Emergency Preparedness’ permission to import shark fins not attached to the body of the shark. Records relating to shark fins and: the process to determine legality of an imported item, DNA testing reports, policies and practices to determine cites, and appendix classification of shark fins in Canada. Additionally, records of shark fin tracking and determination of illegal products importation and exportation.","Statistiques pour la période du 1er janvier 2015 au 13 novembre 2020 concernant les ailerons de requins, ainsi que leurs produits et sous-produits. La demande comprend les statistiques sur les ailerons de requins importés au Canada et exportés du Canada, les villes où les violations ont eu lieu, les données sur les saisies d’ailerons de requins ou de leurs produits illégaux, les quantités d’ailerons de requin, réparties par port et par lieu d’origine de l’importation. Autres documents sur le processus d’examen de tous les produits de poissons séchés au Canada, y compris les ailerons de requin, les critères d’examen des ailerons de requins à leur entrée au Canada, les formulaires de déclaration requis pour l’importation des ailerons de requins au Canada, et tous les permis délivrés avec la permission du ministre de la Sécurité publique et de la Protection civile pour importer des ailerons de requins non attachés au corps du requin. Documents relatifs aux ailerons de requins et : processus permettant de déterminer la légalité d’une importation; rapports de tests d’ADN; politiques et pratiques permettant de déterminer l’application de la CITES et classification en annexe des ailerons de requins au Canada. Aussi, documents sur le suivi des ailerons de requins et sur la détermination des décisions concernant les importations et les exportations des produits illégaux.",DA (All disclosed / Communication totale),11,NA,NA,10,Canada Border Services Agency | Agence des services frontaliers du Canada
cbsa-asfc,A-2020-17696,2021,2,"Statistics from January 1, 2015 to November 13, 2020, concerning shark fins, shark fin products, shark fin by-products. This includes statistics on shark fins imported and exported in to or from Canada, cites where violations took place, data on seizures of illegal shark fins or products, shark fin quantities desegregated by ports, and place of origin of import. Further records on the process of examination for all dried fish products in Canada including shark fins, the criteria by which shark fins are examined upon entry into Canada, the declaration forms required for completion in the import of shark fins into Canada, and all permits that have been issued with Minister of Public Safety and Emergency Preparedness’ permission to import shark fins not attached to the body of the shark. Records relating to shark fins and: the process to determine legality of an imported item, DNA testing reports, policies and practices to determine cites, and appendix classification of shark fins in Canada. Additionally, records of shark fin tracking and determination of illegal products importation and exportation.","Statistiques pour la période du 1er janvier 2015 au 13 novembre 2020 concernant les ailerons de requins, ainsi que leurs produits et sous-produits. La demande comprend les statistiques sur les ailerons de requins importés au Canada et exportés du Canada, les villes où les violations ont eu lieu, les données sur les saisies d’ailerons de requins ou de leurs produits illégaux, les quantités d’ailerons de requin, réparties par port et par lieu d’origine de l’importation. Autres documents sur le processus d’examen de tous les produits de poissons séchés au Canada, y compris les ailerons de requin, les critères d’examen des ailerons de requins à leur entrée au Canada, les formulaires de déclaration requis pour l’importation des ailerons de requins au Canada, et tous les permis délivrés avec la permission du ministre de la Sécurité publique et de la Protection civile pour importer des ailerons de requins non attachés au corps du requin. Documents relatifs aux ailerons de requins et : processus permettant de déterminer la légalité d’une importation; rapports de tests d’ADN; politiques et pratiques permettant de déterminer l’application de la CITES et classification en annexe des ailerons de requins au Canada. Aussi, documents sur le suivi des ailerons de requins et sur la détermination des décisions concernant les importations et les exportations des produits illégaux.",DA (All disclosed / Communication totale),3,NA,NA,10,Canada Border Services Agency | Agence des services frontaliers du Canada
cdic-sadc,ATI 1 - 2021-2022,2021,6,All Information Sharing Agreements (as defined by the Treasury Board of Canada Secretariat) that are currently in effect/in use and to which the Canada Deposit Insurance Corporation is a party.,Toutes les ententes d’échange de renseignements (au sens où l’entend le Secrétariat du Conseil du Trésor du Canada) en vigueur auxquelles la Société d’assurance-dépôts du Canada est partie.,DA (All disclosed / Communication totale),0,NA,NA,140,Canada Deposit Insurance Corporation | Société d'assurance-dépôts du Canada
cdic-sadc,ATI 1 - 2021-2022,2021,6,All Information Sharing Agreements (as defined by the Treasury Board of Canada Secretariat) that are currently in effect/in use and to which the Canada Deposit Insurance Corporation is a party.,Toutes les ententes d’échange de renseignements (au sens où l’entend le Secrétariat du Conseil du Trésor du Canada) en vigueur auxquelles la Société d’assurance-dépôts du Canada est partie.,DA (All disclosed / Communication totale),0,The disclosure was the name of the party to the Information Sharing Agreement.,Divulgation du nom de la partie à l’entente sur l’échange de renseignements.,140,Canada Deposit Insurance Corporation | Société d'assurance-dépôts du Canada
cdic-sadc,ATI 2 - 2021-2022,2021,6,"Statistics (including reports, briefings, or emails) specific to medical insurance fraud over the past 6 years and whether there is any uptick in this type of activity.","Statistiques (dont rapports, breffage, courriels) sur les fraudes en matière d’assurance médicale au cours des 6 dernières années. Indiquer s’il y a une tendance à la hausse à cet égard.",NE (No records exist / Aucun document n’existe),0,NA,NA,140,Canada Deposit Insurance Corporation | Société d'assurance-dépôts du Canada
cdic-sadc,ATI 2 - 2021-2022,2021,6,"Statistics (including reports, briefings, or emails) specific to medical insurance fraud over the past 6 years and whether there is any uptick in this type of activity.","Statistiques (dont rapports, breffage, courriels) sur les fraudes en matière d’assurance médicale au cours des 6 dernières années. Indiquer s’il y a une tendance à la hausse à cet égard.",NE (No records exist / Aucun document n’existe),0,CDIC does not collect this type of data.,La SADC ne recueille pas ce genre de renseignements.,140,Canada Deposit Insurance Corporation | Société d'assurance-dépôts du Canada
cdic-sadc,ATIP #3-2021/2022,2021,7,Total amount in compensation (salary + benefits) paid to all executives an annual basis for the 2019 and 2020 calendar years including forecasted compensation for the 2021 calendar year.,"Montant total de la rémunération (salaire + avantages sociaux) payée à tous les dirigeants en 2019 et en 2020, ventilé par dirigeant et par année civile, et montant de la rémunération prévue en 2021.",DP (Disclosed in part / Communication partielle),32,NA,NA,140,Canada Deposit Insurance Corporation | Société d'assurance-dépôts du Canada
cdic-sadc,ATIP #3-2021/2022,2021,7,Total amount in compensation (salary + benefits) paid to all executives an annual basis for the 2019 and 2020 calendar years including forecasted compensation for the 2021 calendar year.,"Montant total de la rémunération (salaire + avantages sociaux) payée à tous les dirigeants en 2019 et en 2020, ventilé par dirigeant et par année civile, et montant de la rémunération prévue en 2021.",DP (Disclosed in part / Communication partielle),32,The disclosure package was redacted T4 slips and an excel spreadsheet.,Le dossier de divulgation comprend des relevés T4 édités et un fichier Excel.,140,Canada Deposit Insurance Corporation | Société d'assurance-dépôts du Canada
cdic-sadc,ATIP #4-2021/2022,2021,10,"A request for documentation with respect to an television advertisement which aired on September 26, 2021, including but not limited to, meeting minutes, presentations materials, and reports which contain information about the rationale to create and air this video on television.","Demande de documents concernant une publicité télévisée diffusée le 26 septembre 2021 : procès-verbaux de réunions, présentations et documents connexes, rapports justifiant le besoin de concevoir et de diffuser cette publicité.",DP (Disclosed in part / Communication partielle),151,NA,NA,140,Canada Deposit Insurance Corporation | Société d'assurance-dépôts du Canada
cdic-sadc,ATIP #4-2021/2022,2021,10,"A request for documentation with respect to an television advertisement which aired on September 26, 2021, including but not limited to, meeting minutes, presentations materials, and reports which contain information about the rationale to create and air this video on television.","Demande de documents concernant une publicité télévisée diffusée le 26 septembre 2021 : procès-verbaux de réunions, présentations et documents connexes, rapports justifiant le besoin de concevoir et de diffuser cette publicité.",DP (Disclosed in part / Communication partielle),151,The disclosure package consisted of partially redacted presentation decks and one unredacted internal email.,Les documents communiqués comprenaient des présentations en partie caviardées ainsi qu’un courriel interne non caviardé.,140,Canada Deposit Insurance Corporation | Société d'assurance-dépôts du Canada
ced-dec,A-2021-00084,2021,1,"All documents related to subsidies, loans, grants, investments, tax credit applications and other forms of financial help concerning MindGeek and ManWin between January 1st 2010 and December 29th, 2020.","Tous les documents relatifs aux subventions, prêts, bourses, investissements, demandes de crédit d'impôt et autres formes d'aide financière concernant MindGeek et ManWin entre le 1er janvier 2010 et le 29 décembre 2020.",NE (No records exist / Aucun document n’existe),0,NA,NA,49,Canada Economic Development for Quebec Regions | Développement économique Canada pour les régions du Québec
ced-dec,A-2021-00084,2021,1,"All documents related to subsidies, loans, grants, investments, tax credit applications and other forms of financial help concerning MindGeek and ManWin between January 1st 2010 and December 29th, 2020.","Tous les documents relatifs aux subventions, prêts, bourses, investissements, demandes de crédit d'impôt et autres formes d'aide financière concernant MindGeek et ManWin entre le 1er janvier 2010 et le 29 décembre 2020.",NE (No records exist / Aucun document n’existe),NA,NA,NA,49,Canada Economic Development for Quebec Regions | Développement économique Canada pour les régions du Québec
cer-rec,A-2018-001,2021,4,Records produced - including email and other communications. briefings. and memos - related to security preparations and/or security issues surrounding the Kinder Morgan Trans Mountain pipeline route hearings. Please include records related to all segments of the route hearings.,"Dossiers produits, y compris les courriels et autres communications, documents d’information et notes de service portant sur les préparatifs en matière de sûreté ou les questions à ce sujet entourant les audiences sur le tracé du pipeline Trans Mountain de Kinder Morgan. Veuillez inclure les dossiers relatifs à tous les tronçons des audiences sur le tracé.",DP (Disclosed in part / Communication partielle),1513,NA,NA,38,Canada Energy Regulator | La Régie de l’énergie du Canada
cer-rec,A-2018-001,2021,4,Records produced - including email and other communications. briefings. and memos - related to security preparations and/or security issues surrounding the Kinder Morgan Trans Mountain pipeline route hearings. Please include records related to all segments of the route hearings.,"Dossiers produits, y compris les courriels et autres communications, documents d’information et notes de service portant sur les préparatifs en matière de sûreté ou les questions à ce sujet entourant les audiences sur le tracé du pipeline Trans Mountain de Kinder Morgan. Veuillez inclure les dossiers relatifs à tous les tronçons des audiences sur le tracé.",DP (Disclosed in part / Communication partielle),1513,No,Non,38,Canada Energy Regulator | La Régie de l’énergie du Canada
cer-rec,A-2019-00005,2021,6,"Documentation dated 2011 to 2019 related to the incident discovered in July 2010 on Quebec Land register lot 1 251 075. This incident involves a spill or leak of petroleum product originating from a pipeline belonging to Trans-Northern Pipeline Inc. More specifically without limiting the scope of the foregoing, the documents that we wish to obtain include: 1. Environmental Emergency File 2. Any investigation file 3. All incidents, inspections, events or site visits report 4. All certificates of authorization and all documents submitted for the purpose of obtaining a certificate of authorization or any internal notes, e-mails, or correspondence related to such certificates 5. All notices of infringement, search, correction notices, complaints, letters, claims, orders, (criminal, civil or administrative), judgments, offenses or any other administrative proceedings 6. All letters, requests, notices, memos, memoranda, correspondence, summaries of cases, status reports and analysis documents 7. All environmental studies, environmental monitoring reports (soil and groundwater), chemical analysis results, rehabilitation plans, approvals and rehabilitation plan reports","Documents de 2011 à 2019 relatifs à l’incident constaté en juillet 2010 sur le terrain 1 251 075 enregistré au Québec. L’incident consiste en un déversement ou une fuite de produits pétroliers provenant d’un pipeline appartenant à Pipelines Trans‑Nord Inc. Plus précisément, et sans limiter la portée de ce qui précède, nous souhaitons obtenir les documents suivants : 1. Dossier d’urgence environnementale 2. Tout dossier d’enquête 3. Rapport sur tous les incidents, inspections, événements ou visites des lieux 4. Tous les certificats d’autorisation et tous les documents déposés en vue d’obtenir un certificat d’autorisation ou toute note, tout courriel ou toute correspondance interne concernant ces certificats 5. Tous les avis de violation, de perquisition, de correction, de plainte, de lettre, de réclamation, d’ordonnance (pénale, civile ou administrative), de jugement, d’infraction ou de toute autre procédure administrative 6. Toutes les lettres, demandes et notes de service et tous les échanges de courriers, résumés de dossiers, rapports d’étape et documents d’analyse 7. Toutes les études environnementales et approbations et tous les rapports de surveillance environnementale (sol et eaux souterraines), résultats des analyses chimiques, plans de réhabilitation et rapports sur les plans de réhabilitation.",DP (Disclosed in part / Communication partielle),2543,NA,NA,38,Canada Energy Regulator | La Régie de l’énergie du Canada
cer-rec,A-2019-00005,2021,6,"Documentation dated 2011 to 2019 related to the incident discovered in July 2010 on Quebec Land register lot 1 251 075. This incident involves a spill or leak of petroleum product originating from a pipeline belonging to Trans-Northern Pipeline Inc. More specifically without limiting the scope of the foregoing, the documents that we wish to obtain include: 1. Environmental Emergency File 2. Any investigation file 3. All incidents, inspections, events or site visits report 4. All certificates of authorization and all documents submitted for the purpose of obtaining a certificate of authorization or any internal notes, e-mails, or correspondence related to such certificates 5. All notices of infringement, search, correction notices, complaints, letters, claims, orders, (criminal, civil or administrative), judgments, offenses or any other administrative proceedings 6. All letters, requests, notices, memos, memoranda, correspondence, summaries of cases, status reports and analysis documents 7. All environmental studies, environmental monitoring reports (soil and groundwater), chemical analysis results, rehabilitation plans, approvals and rehabilitation plan reports","Documents de 2011 à 2019 relatifs à l’incident constaté en juillet 2010 sur le terrain 1 251 075 enregistré au Québec. L’incident consiste en un déversement ou une fuite de produits pétroliers provenant d’un pipeline appartenant à Pipelines Trans‑Nord Inc. Plus précisément, et sans limiter la portée de ce qui précède, nous souhaitons obtenir les documents suivants : 1. Dossier d’urgence environnementale 2. Tout dossier d’enquête 3. Rapport sur tous les incidents, inspections, événements ou visites des lieux 4. Tous les certificats d’autorisation et tous les documents déposés en vue d’obtenir un certificat d’autorisation ou toute note, tout courriel ou toute correspondance interne concernant ces certificats 5. Tous les avis de violation, de perquisition, de correction, de plainte, de lettre, de réclamation, d’ordonnance (pénale, civile ou administrative), de jugement, d’infraction ou de toute autre procédure administrative 6. Toutes les lettres, demandes et notes de service et tous les échanges de courriers, résumés de dossiers, rapports d’étape et documents d’analyse 7. Toutes les études environnementales et approbations et tous les rapports de surveillance environnementale (sol et eaux souterraines), résultats des analyses chimiques, plans de réhabilitation et rapports sur les plans de réhabilitation.",DP (Disclosed in part / Communication partielle),2543,No,non,38,Canada Energy Regulator | La Régie de l’énergie du Canada
cer-rec,A-2019-00007,2021,6,All spill reports and the documents associated with the remediation efforts of those spills relating to incidents of liquid substance releases by Enbridge Pipelines Inc. at the Hardisty terminal in Alberta reported between 2010-01-01 and 2019-07-05.,"Tous les rapports de déversement et documents associés aux efforts d’assainissement de ces déversements relatifs aux incidents de rejets de substances liquides par Pipelines Enbridge Inc. au terminal de Hardisty, en Alberta, signalés entre le 1er janvier 2010 et le 5 juillet 2019.",DP (Disclosed in part / Communication partielle),2326,NA,NA,38,Canada Energy Regulator | La Régie de l’énergie du Canada
cer-rec,A-2019-00007,2021,6,All spill reports and the documents associated with the remediation efforts of those spills relating to incidents of liquid substance releases by Enbridge Pipelines Inc. at the Hardisty terminal in Alberta reported between 2010-01-01 and 2019-07-05.,"Tous les rapports de déversement et documents associés aux efforts d’assainissement de ces déversements relatifs aux incidents de rejets de substances liquides par Pipelines Enbridge Inc. au terminal de Hardisty, en Alberta, signalés entre le 1er janvier 2010 et le 5 juillet 2019.",DP (Disclosed in part / Communication partielle),2326,No,non,38,Canada Energy Regulator | La Régie de l’énergie du Canada
cer-rec,A-2020-015,2021,3,"Please provide any and all communications / emails, briefing notes, hand-written notes related to communications strategy for the release of EF 2020 relating to pipelines.","Veuillez fournir l’ensemble des communications, courriels, notes d’information et notes manuscrites portant sur la stratégie de communication du rapport Avenir énergétique 2020 en ce qui a trait aux pipelines.",DP (Disclosed in part / Communication partielle),170,NA,NA,38,Canada Energy Regulator | La Régie de l’énergie du Canada
cer-rec,A-2020-015,2021,3,"Please provide any and all communications / emails, briefing notes, hand-written notes related to communications strategy for the release of EF 2020 relating to pipelines.","Veuillez fournir l’ensemble des communications, courriels, notes d’information et notes manuscrites portant sur la stratégie de communication du rapport Avenir énergétique 2020 en ce qui a trait aux pipelines.",DP (Disclosed in part / Communication partielle),170,No,Non,38,Canada Energy Regulator | La Régie de l’énergie du Canada
cer-rec,A-2020-016,2021,4,"Please provide a copy of the following briefing notes, along with all associated records and correspondence sent/rec'd by officials at the DG, ADM or DM level, for the document carrying the following title and tracking number: Energy Futures 2020 - Comparison with Other Forecasts, Ref # 1281889, Canadian Energy Regulator CEO Federal Family Deputy Head Meetings - Energy Futures 2020 (week of Nov 2-6) Ref # 1270199, Continued Partnership with Ingenium to Update “Exploring Canada’s Energy Future” Lesson Plans Ref # 1278763","Fournir une copie de la note d’information, ainsi que tous les dossiers et toute la correspondance connexes des fonctionnaires de niveau DG, SMA ou SM, pour le document portant le titre et le numéro de suivi suivants : Avenir énergétique 2020 – comparaison avec d’autres prévisions, réf. 1281889; réunions de la PDG avec les administrateurs généraux de la famille fédérale portant sur le rapport Avenir énergétique 2020 (semaine du 2 au 6 novembre), réf. 1270199; poursuite du partenariat avec Ingenium pour actualiser les plans de leçon « explorer l’avenir énergétique du Canada », réf. 1278763.",DP (Disclosed in part / Communication partielle),64,NA,NA,38,Canada Energy Regulator | La Régie de l’énergie du Canada
cer-rec,A-2020-016,2021,4,"Please provide a copy of the following briefing notes, along with all associated records and correspondence sent/rec'd by officials at the DG, ADM or DM level, for the document carrying the following title and tracking number: Energy Futures 2020 - Comparison with Other Forecasts, Ref # 1281889, Canadian Energy Regulator CEO Federal Family Deputy Head Meetings - Energy Futures 2020 (week of Nov 2-6) Ref # 1270199, Continued Partnership with Ingenium to Update “Exploring Canada’s Energy Future” Lesson Plans Ref # 1278763","Fournir une copie de la note d’information, ainsi que tous les dossiers et toute la correspondance connexes des fonctionnaires de niveau DG, SMA ou SM, pour le document portant le titre et le numéro de suivi suivants : Avenir énergétique 2020 – comparaison avec d’autres prévisions, réf. 1281889; réunions de la PDG avec les administrateurs généraux de la famille fédérale portant sur le rapport Avenir énergétique 2020 (semaine du 2 au 6 novembre), réf. 1270199; poursuite du partenariat avec Ingenium pour actualiser les plans de leçon « explorer l’avenir énergétique du Canada », réf. 1278763.",DP (Disclosed in part / Communication partielle),64,No,Non,38,Canada Energy Regulator | La Régie de l’énergie du Canada
cer-rec,A-2020-017,2021,3,I would like to request any CER developed guidance documents or protocols that field inspectors use during field Compliance Verification inspections.,J’aimerais obtenir les directives ou les protocoles que les inspecteurs de la Régie utilisent pendant les inspections de vérification de la conformité sur le terrain.,DP (Disclosed in part / Communication partielle),356,NA,NA,38,Canada Energy Regulator | La Régie de l’énergie du Canada
cer-rec,A-2020-017,2021,3,I would like to request any CER developed guidance documents or protocols that field inspectors use during field Compliance Verification inspections.,J’aimerais obtenir les directives ou les protocoles que les inspecteurs de la Régie utilisent pendant les inspections de vérification de la conformité sur le terrain.,DP (Disclosed in part / Communication partielle),356,No,Non,38,Canada Energy Regulator | La Régie de l’énergie du Canada
cer-rec,A-2020-021,2021,3,Request for the following briefing note and minutes of the meeting in question; Title: CEO Quarterly Meeting with Enbridge – 10 December 2020,Demande visant la note d’information et le procès-verbal de la réunion en question. Titre : Réunion trimestrielle de la PDG avec Enbridge – 10 décembre 2020,DA (All disclosed / Communication totale),4,NA,NA,38,Canada Energy Regulator | La Régie de l’énergie du Canada
cer-rec,A-2020-021,2021,3,Request for the following briefing note and minutes of the meeting in question; Title: CEO Quarterly Meeting with Enbridge – 10 December 2020,Demande visant la note d’information et le procès-verbal de la réunion en question. Titre : Réunion trimestrielle de la PDG avec Enbridge – 10 décembre 2020,DA (All disclosed / Communication totale),4,No,Non,38,Canada Energy Regulator | La Régie de l’énergie du Canada
cer-rec,A-2020-022,2021,4,"Provide a copy of the briefing note, along with all associated records and correspondence sent/rec’d by officials at the DG, ADM or DM level, for the document carrying the following title and tracking number: CEO Quarterly Meeting with Trans Mountain Corporation, Ref # 1233270","Fournir une copie de la note d’information, ainsi que tous les dossiers et toute la correspondance connexes des fonctionnaires de niveau DG, SMA ou SM, pour le document portant le titre et le numéro de suivi suivants : réunion trimestrielle de la PDG avec Trans Mountain Corporation, réf. : 1233270.",DP (Disclosed in part / Communication partielle),21,NA,NA,38,Canada Energy Regulator | La Régie de l’énergie du Canada
cer-rec,A-2020-022,2021,4,"Provide a copy of the briefing note, along with all associated records and correspondence sent/rec’d by officials at the DG, ADM or DM level, for the document carrying the following title and tracking number: CEO Quarterly Meeting with Trans Mountain Corporation, Ref # 1233270","Fournir une copie de la note d’information, ainsi que tous les dossiers et toute la correspondance connexes des fonctionnaires de niveau DG, SMA ou SM, pour le document portant le titre et le numéro de suivi suivants : réunion trimestrielle de la PDG avec Trans Mountain Corporation, réf. : 1233270.",DP (Disclosed in part / Communication partielle),21,No,Non,38,Canada Energy Regulator | La Régie de l’énergie du Canada
